id: 454083262608239455, distance: 0.6548983454704285, entity: {'Metaphone_Name': 'PRMNJKRN', 'Title_Code': 'RAJHIN12806', 'Title_Name': 'BRAHMAN JAGRAN'}
id: 454083262608239426, distance: 0.6539687514305115, entity: {'Metaphone_Name': 'PLJKRN', 'Title_Code': 'MPHIN10818', 'Title_Name': 'PAL JAGRAN'}
id: 454083262608239420, distance: 0.6536288261413574, entity: {'Metaphone_Name': 'PLMKJKRN', 'Title_Code': 'MPHIN32233', 'Title_Name': 'BALMIK JAGRAN'}
id: 454083262608239500, distance: 0.6535691022872925, entity: {'Metaphone_Name': 'SNTJKRN', 'Title_Code': 'UPHIN38574', 'Title_Name': 'SANDHYA JAGRAN'}
id: 454083262608249955, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELKAN00057', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249944, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELMAR00096', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249969, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELBEN00170', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249932, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELTEL00091', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249942, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELPUN00645', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249943, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELASS00024', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249980, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELMAL00133', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249990, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELODI00066', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249938, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELENG19771', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249931, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELHIN28929', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608249989, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELTAM00105', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608250001, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELURD03223', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608250000, distance: 0.6535075306892395, entity: {'Metaphone_Name': 'NNTSMKR', 'Title_Code': 'DELGUJ00089', 'Title_Name': 'NEW INDIA SAMACHAR'}
id: 454083262608239551, distance: 0.6517637968063354, entity: {'Metaphone_Name': 'JNJKRN', 'Title_Code': 'WBHIN00332', 'Title_Name': 'JAIN JAGRAN'}
id: 454083262608239397, distance: 0.6495214700698853, entity: {'Metaphone_Name': 'FFSJKRN', 'Title_Code': 'MAHMAR27296', 'Title_Name': 'VYAVSAI JAGRAN'}
id: 454083262608239444, distance: 0.6482313871383667, entity: {'Metaphone_Name': 'JNJKRN', 'Title_Code': 'PUNPUN03786', 'Title_Name': 'JAN JAGRAN'}
id: 454083262608239379, distance: 0.6482313871383667, entity: {'Metaphone_Name': 'JNJKRN', 'Title_Code': 'GUJGUJ15098', 'Title_Name': 'JAN JAGRAN'}
